hid,hero,win_no,lose_no,game_no,win_rate
55,Dark Seer,29.0,8.0,37.0,0.7837837837837838
61,Broodmother,9.0,5.0,14.0,0.6428571428571429
43,Death Prophet,34.0,21.0,55.0,0.6181818181818182
50,Dazzle,100.0,65.0,165.0,0.6060606060606061
15,Razor,52.0,36.0,88.0,0.5909090909090909
89,Naga Siren,30.0,21.0,51.0,0.5882352941176471
96,Centaur Warrunner,64.0,47.0,111.0,0.5765765765765766
112,Winter Wyvern,56.0,42.0,98.0,0.5714285714285714
57,Omniknight,25.0,19.0,44.0,0.5681818181818182
63,Weaver,98.0,75.0,173.0,0.5664739884393064
75,Silencer,105.0,81.0,186.0,0.5645161290322581
120,Pangolier,43.0,34.0,77.0,0.5584415584415584
19,Tiny,34.0,27.0,61.0,0.5573770491803278
60,Night Stalker,50.0,40.0,90.0,0.5555555555555556
113,Arc Warden,26.0,21.0,47.0,0.5531914893617021
108,Underlord,42.0,34.0,76.0,0.5526315789473685
78,Brewmaster,16.0,13.0,29.0,0.5517241379310345
121,Grimstroke,76.0,62.0,138.0,0.5507246376811594
42,Wraith King,137.0,112.0,249.0,0.5502008032128514
5,Crystal Maiden,91.0,75.0,166.0,0.5481927710843374
36,Necrophos,89.0,74.0,163.0,0.5460122699386503
31,Lich,66.0,55.0,121.0,0.5454545454545454
39,Queen of Pain,149.0,125.0,274.0,0.5437956204379562
114,Monkey King,64.0,54.0,118.0,0.5423728813559322
47,Viper,77.0,65.0,142.0,0.5422535211267606
38,Beastmaster,13.0,11.0,24.0,0.5416666666666666
14,Pudge,255.0,216.0,471.0,0.5414012738853503
99,Bristleback,105.0,89.0,194.0,0.5412371134020618
1,Anti-Mage,104.0,89.0,193.0,0.538860103626943
22,Zeus,91.0,78.0,169.0,0.5384615384615384
33,Enigma,55.0,48.0,103.0,0.5339805825242718
77,Lycan,8.0,7.0,15.0,0.5333333333333333
10,Morphling,69.0,61.0,130.0,0.5307692307692308
83,Treant Protector,80.0,71.0,151.0,0.5298013245033113
66,Chen,9.0,8.0,17.0,0.5294117647058824
27,Shadow Shaman,121.0,109.0,230.0,0.5260869565217391
94,Medusa,84.0,76.0,160.0,0.525
97,Magnus,67.0,61.0,128.0,0.5234375
37,Warlock,34.0,31.0,65.0,0.5230769230769231
101,Skywrath Mage,84.0,77.0,161.0,0.5217391304347826
84,Ogre Magi,169.0,156.0,325.0,0.52
64,Jakiro,118.0,109.0,227.0,0.5198237885462555
7,Earthshaker,89.0,83.0,172.0,0.5174418604651163
87,Disruptor,79.0,74.0,153.0,0.5163398692810458
107,Earth Spirit,32.0,30.0,62.0,0.5161290322580645
40,Venomancer,64.0,60.0,124.0,0.5161290322580645
54,Lifestealer,81.0,76.0,157.0,0.5159235668789809
73,Alchemist,41.0,39.0,80.0,0.5125
109,Terrorblade,25.0,24.0,49.0,0.5102040816326531
74,Invoker,150.0,144.0,294.0,0.5102040816326531
62,Bounty Hunter,77.0,74.0,151.0,0.5099337748344371
26,Lion,189.0,182.0,371.0,0.5094339622641509
93,Slark,100.0,97.0,197.0,0.5076142131979695
70,Ursa,104.0,101.0,205.0,0.5073170731707317
12,Phantom Lancer,51.0,50.0,101.0,0.504950495049505
16,Sand King,67.0,66.0,133.0,0.5037593984962406
34,Tinker,74.0,73.0,147.0,0.5034013605442177
41,Faceless Void,108.0,107.0,215.0,0.5023255813953489
52,Leshrac,19.0,19.0,38.0,0.5
48,Luna,92.0,92.0,184.0,0.5
9,Mirana,87.0,87.0,174.0,0.5
8,Juggernaut,150.0,151.0,301.0,0.4983388704318937
35,Sniper,145.0,146.0,291.0,0.49828178694158076
126,Void Spirit,84.0,85.0,169.0,0.4970414201183432
106,Ember Spirit,68.0,69.0,137.0,0.49635036496350365
98,Timbersaw,58.0,59.0,117.0,0.49572649572649574
100,Tusk,54.0,55.0,109.0,0.4954128440366973
30,Witch Doctor,104.0,106.0,210.0,0.49523809523809526
4,Bloodseeker,50.0,51.0,101.0,0.49504950495049505
128,Snapfire,74.0,76.0,150.0,0.49333333333333335
110,Phoenix,37.0,38.0,75.0,0.49333333333333335
76,Outworld Devourer,105.0,109.0,214.0,0.49065420560747663
13,Puck,69.0,72.0,141.0,0.48936170212765956
86,Rubick,106.0,111.0,217.0,0.48847926267281105
2,Axe,76.0,80.0,156.0,0.48717948717948717
11,Shadow Fiend,94.0,99.0,193.0,0.48704663212435234
67,Spectre,54.0,57.0,111.0,0.4864864864864865
51,Clockwerk,44.0,47.0,91.0,0.4835164835164835
72,Gyrocopter,49.0,53.0,102.0,0.4803921568627451
85,Undying,60.0,65.0,125.0,0.48
23,Kunkka,87.0,95.0,182.0,0.47802197802197804
59,Huskar,54.0,59.0,113.0,0.4778761061946903
68,Ancient Apparition,59.0,65.0,124.0,0.47580645161290325
56,Clinkz,28.0,31.0,59.0,0.4745762711864407
71,Spirit Breaker,138.0,153.0,291.0,0.4742268041237113
136,Marci,73.0,81.0,154.0,0.474025974025974
104,Legion Commander,142.0,158.0,300.0,0.47333333333333333
44,Phantom Assassin,136.0,154.0,290.0,0.4689655172413793
119,Dark Willow,52.0,60.0,112.0,0.4642857142857143
88,Nyx Assassin,37.0,43.0,80.0,0.4625
129,Mars,67.0,78.0,145.0,0.46206896551724136
46,Templar Assassin,45.0,53.0,98.0,0.45918367346938777
25,Lina,80.0,96.0,176.0,0.45454545454545453
6,Drow Ranger,108.0,130.0,238.0,0.453781512605042
21,Windranger,106.0,129.0,235.0,0.451063829787234
18,Sven,38.0,47.0,85.0,0.4470588235294118
17,Storm Spirit,62.0,77.0,139.0,0.4460431654676259
20,Vengeful Spirit,34.0,43.0,77.0,0.44155844155844154
123,Hoodwink,65.0,83.0,148.0,0.4391891891891892
90,Keeper of the Light,32.0,41.0,73.0,0.4383561643835616
69,Doom,27.0,35.0,62.0,0.43548387096774194
45,Pugna,34.0,45.0,79.0,0.43037974683544306
32,Riki,38.0,51.0,89.0,0.42696629213483145
49,Dragon Knight,36.0,49.0,85.0,0.4235294117647059
135,Dawnbreaker,28.0,39.0,67.0,0.417910447761194
28,Slardar,46.0,65.0,111.0,0.4144144144144144
91,Io,19.0,27.0,46.0,0.41304347826086957
92,Visage,7.0,10.0,17.0,0.4117647058823529
102,Abaddon,30.0,43.0,73.0,0.410958904109589
79,Shadow Demon,21.0,31.0,52.0,0.40384615384615385
3,Bane,37.0,55.0,92.0,0.40217391304347827
105,Techies,45.0,67.0,112.0,0.4017857142857143
82,Meepo,6.0,9.0,15.0,0.4
80,Lone Druid,13.0,20.0,33.0,0.3939393939393939
81,Chaos Knight,39.0,60.0,99.0,0.3939393939393939
65,Batrider,14.0,22.0,36.0,0.3888888888888889
53,Nature's Prophet,34.0,54.0,88.0,0.38636363636363635
95,Troll Warlord,24.0,39.0,63.0,0.38095238095238093
111,Oracle,15.0,25.0,40.0,0.375
58,Enchantress,17.0,29.0,46.0,0.3695652173913043
29,Tidehunter,48.0,83.0,131.0,0.366412213740458
103,Elder Titan,11.0,21.0,32.0,0.34375
